package,version,license,license_source,direct_dependency,dev_dependency,resolved,package_path,license_file
@types/webxr,0.5.24,MIT,package-lock,false,false,https://registry.npmjs.org/@types/webxr/-/webxr-0.5.24.tgz,node_modules/@types/webxr,node_modules/@types/webxr/LICENSE
@ungap/structured-clone,1.3.0,ISC,package-lock,false,false,https://registry.npmjs.org/@ungap/structured-clone/-/structured-clone-1.3.0.tgz,node_modules/@ungap/structured-clone,node_modules/@ungap/structured-clone/LICENSE
@use-gesture/core,10.3.1,MIT,package-lock,false,false,https://registry.npmjs.org/@use-gesture/core/-/core-10.3.1.tgz,node_modules/@use-gesture/core,node_modules/@use-gesture/core/LICENSE
@use-gesture/react,10.3.1,MIT,package-lock,false,false,https://registry.npmjs.org/@use-gesture/react/-/react-10.3.1.tgz,node_modules/@use-gesture/react,node_modules/@use-gesture/react/LICENSE
@vitejs/plugin-react,5.1.3,MIT,package-lock,true,true,https://registry.npmjs.org/@vitejs/plugin-react/-/plugin-react-5.1.3.tgz,node_modules/@vitejs/plugin-react,node_modules/@vitejs/plugin-react/LICENSE
@webgpu/types,0.1.69,BSD-3-Clause,package-lock,false,false,https://registry.npmjs.org/@webgpu/types/-/types-0.1.69.tgz,node_modules/@webgpu/types,node_modules/@webgpu/types/LICENSE
bail,2.0.2,MIT,package-lock,false,false,https://registry.npmjs.org/bail/-/bail-2.0.2.tgz,node_modules/bail,node_modules/bail/license
base64-js,1.5.1,MIT,package-lock,false,false,https://registry.npmjs.org/base64-js/-/base64-js-1.5.1.tgz,node_modules/base64-js,node_modules/base64-js/LICENSE
baseline-browser-mapping,2.9.19,Apache-2.0,package-lock,false,true,https://registry.npmjs.org/baseline-browser-mapping/-/baseline-browser-mapping-2.9.19.tgz,node_modules/baseline-browser-mapping,node_modules/baseline-browser-mapping/LICENSE.txt
bidi-js,1.0.3,MIT,package-lock,false,false,https://registry.npmjs.org/bidi-js/-/bidi-js-1.0.3.tgz,node_modules/bidi-js,node_modules/bidi-js/LICENSE.txt
browserslist,4.28.1,MIT,package-lock,false,true,https://registry.npmjs.org/browserslist/-/browserslist-4.28.1.tgz,node_modules/browserslist,node_modules/browserslist/LICENSE
buffer,6.0.3,MIT,package-lock,false,false,https://registry.npmjs.org/buffer/-/buffer-6.0.3.tgz,node_modules/buffer,node_modules/buffer/LICENSE
camera-controls,3.1.2,MIT,package-lock,false,false,https://registry.npmjs.org/camera-controls/-/camera-controls-3.1.2.tgz,node_modules/camera-controls,node_modules/camera-controls/LICENSE
caniuse-lite,1.0.30001768,CC-BY-4.0,package-lock,false,true,https://registry.npmjs.org/caniuse-lite/-/caniuse-lite-1.0.30001768.tgz,node_modules/caniuse-lite,node_modules/caniuse-lite/LICENSE
ccount,2.0.1,MIT,package-lock,false,false,https://registry.npmjs.org/ccount/-/ccount-2.0.1.tgz,node_modules/ccount,node_modules/ccount/license
character-entities,2.0.2,MIT,package-lock,false,false,https://registry.npmjs.org/character-entities/-/character-entities-2.0.2.tgz,node_modules/character-entities,node_modules/character-entities/license
character-entities-html4,2.1.0,MIT,package-lock,false,false,https://registry.npmjs.org/character-entities-html4/-/character-entities-html4-2.1.0.tgz,node_modules/character-entities-html4,node_modules/character-entities-html4/license
character-entities-legacy,3.0.0,MIT,package-lock,false,false,https://registry.npmjs.org/character-entities-legacy/-/character-entities-legacy-3.0.0.tgz,node_modules/character-entities-legacy,node_modules/character-entities-legacy/license
character-reference-invalid,2.0.1,MIT,package-lock,false,false,https://registry.npmjs.org/character-reference-invalid/-/character-reference-invalid-2.0.1.tgz,node_modules/character-reference-invalid,node_modules/character-reference-invalid/license
comma-separated-tokens,2.0.3,MIT,package-lock,false,false,https://registry.npmjs.org/comma-separated-tokens/-/comma-separated-tokens-2.0.3.tgz,node_modules/comma-separated-tokens,node_modules/comma-separated-tokens/license
convert-source-map,2.0.0,MIT,package-lock,false,true,https://registry.npmjs.org/convert-source-map/-/convert-source-map-2.0.0.tgz,node_modules/convert-source-map,node_modules/convert-source-map/LICENSE
cross-env,7.0.3,MIT,package-lock,false,false,https://registry.npmjs.org/cross-env/-/cross-env-7.0.3.tgz,node_modules/cross-env,node_modules/cross-env/LICENSE
